Filename,Anomaly_Score,MSE,SSIM_Delta,Is_Anomaly
tile_3897.npy,0.26186368,0.0014383483,0.52228904,False
tile_29107.npy,0.2617941,0.0016143546,0.52197385,False
tile_25440.npy,0.26177257,0.0015584523,0.5219867,False
tile_18072.npy,0.26176938,0.0016671836,0.52187157,False
tile_7184.npy,0.2617408,0.0014207286,0.5220609,False
tile_27876.npy,0.2617375,0.00095515617,0.5225198,False
tile_3594.npy,0.2617301,0.0010159161,0.5224443,False
tile_22073.npy,0.2616224,0.0012901658,0.52195466,False
tile_23755.npy,0.26161143,0.0015865825,0.5216363,False
tile_3195.npy,0.26160398,0.0017707975,0.52143717,False
tile_26655.npy,0.26157185,0.0015415424,0.52160215,False
