Filename,Anomaly_Score,MSE,SSIM_Delta,KLD,Is_Anomaly
tile_15544.npy,0.52431893,0.043682538,0.999638,2.6586578,False
tile_18865.npy,0.524302,0.0440247,0.9996477,2.465815,False
tile_14858.npy,0.5242981,0.043491513,0.9997809,2.6618767,False
tile_5300.npy,0.5242959,0.04351834,0.9997579,2.65786,False
tile_15747.npy,0.5242822,0.0436533,0.999692,2.6095471,False
tile_22518.npy,0.52428025,0.04362248,0.9997807,2.5786996,False
tile_15745.npy,0.5242704,0.0436801,0.99969494,2.582911,False
tile_20136.npy,0.52426344,0.04354553,0.999739,2.6211941,False
tile_15583.npy,0.52425814,0.04353837,0.99962443,2.6767273,False
tile_19532.npy,0.5242549,0.043770306,0.9996833,2.528103,False
tile_18402.npy,0.5242387,0.043768123,0.99962896,2.5401566,False
tile_16122.npy,0.52422947,0.043467343,0.99973583,2.6279328,False
tile_4957.npy,0.52421236,0.043465346,0.9997454,2.6070094,False
tile_12944.npy,0.5242019,0.04361563,0.9996328,2.5776958,False
tile_16648.npy,0.52420086,0.04358798,0.9997535,2.5301452,False
tile_20069.npy,0.52418405,0.043340474,0.9996916,2.6680112,False
tile_10331.npy,0.52416116,0.04351324,0.99964726,2.5809598,False
tile_14528.npy,0.5241518,0.043346558,0.9996509,2.6530733,False
tile_14567.npy,0.52413976,0.043422937,0.9996398,2.6083941,False
tile_12991.npy,0.5240965,0.043258935,0.9996839,2.6250231,False
tile_11265.npy,0.5240849,0.043140084,0.9996783,2.6757183,False
tile_20930.npy,0.5240639,0.04325315,0.9996729,2.600861,False
tile_7192.npy,0.52405286,0.043203574,0.9997199,2.591162,False
tile_14720.npy,0.5240348,0.042882692,0.9996755,2.7556992,False
tile_16810.npy,0.52400553,0.043352157,0.99970245,2.4782457,False
tile_19090.npy,0.5239989,0.04319583,0.99967164,2.5651922,False
tile_10686.npy,0.52398425,0.043158256,0.999712,2.5490956,False
tile_13644.npy,0.523982,0.043121748,0.9996944,2.5738978,False
tile_13645.npy,0.5239635,0.043146033,0.9996231,2.578901,False
tile_16445.npy,0.5239313,0.042793866,0.9998166,2.6261191,False
tile_15209.npy,0.52393055,0.042913906,0.99964565,2.6508057,False
tile_13297.npy,0.52389765,0.043068442,0.99972486,2.5009828,False
tile_22333.npy,0.52388304,0.042762075,0.9997357,2.634141,False
tile_11971.npy,0.52387595,0.042904492,0.9996222,2.6125958,False
tile_14345.npy,0.523862,0.042688973,0.99961364,2.7107253,False
tile_19361.npy,0.5238581,0.042763315,0.999691,2.6308908,False
tile_9985.npy,0.52381617,0.042714015,0.9996261,2.646111,False
tile_20957.npy,0.5237991,0.042812593,0.999698,2.5438144,False
tile_14716.npy,0.5237447,0.042290278,0.99965996,2.7695646,False
tile_23209.npy,0.5237297,0.041832052,0.99955255,3.0373662,False
tile_12124.npy,0.5237031,0.042605832,0.9996741,2.5631156,False
tile_9084.npy,0.5236895,0.042476118,0.9997153,2.5937347,False
tile_13116.npy,0.5236777,0.042525668,0.9997308,2.5494423,False
tile_17132.npy,0.52367264,0.042385705,0.99973917,2.6102288,False
tile_17624.npy,0.52366567,0.042436257,0.9996946,2.6002607,False
tile_13648.npy,0.5236359,0.042386785,0.99972266,2.5811925,False
tile_20933.npy,0.52363074,0.042187795,0.99978,2.646841,False
tile_16316.npy,0.5236121,0.04259637,0.999614,2.5068932,False
tile_13127.npy,0.5235654,0.04197633,0.99974203,2.706211,False
tile_4252.npy,0.5235486,0.042284872,0.9996298,2.5912244,False
tile_13810.npy,0.5235347,0.042021252,0.9996676,2.690289,False
tile_15792.npy,0.5235343,0.042283498,0.9996669,2.5590732,False
